operator,time_us
DistributedDataParallel.forward,938
aten::flatten_dense_tensors,297
aten::view,682
aten::cat,12
c10d::broadcast_,25
record_param_comms,38
aten::unflatten_dense_tensors,765
aten::narrow,634
aten::slice,656
aten::as_strided,737
aten::copy_,2564
aten::conv2d,158
aten::convolution,163
aten::_convolution,158
aten::cudnn_convolution,42491
aten::add_,22237
aten::batch_norm,145
aten::_batch_norm_impl_index,151
aten::cudnn_batch_norm,22284
aten::empty_like,159
aten::empty,1811
aten::relu_,138
aten::clamp_min_,11798
aten::max_pool2d,3
aten::max_pool2d_with_indices,851
aten::adaptive_avg_pool2d,3
aten::mean,107
aten::flatten,3
aten::linear,5
aten::t,15
aten::transpose,15
aten::addmm,63
aten::is_same_size,1
autograd::engine::evaluate_function: AddmmBackward0,6
AddmmBackward0,11
aten::mm,85
aten::sum,11
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,2335
torch::autograd::AccumulateGrad,1411
torch::distributed::reducer::mul_out,1539
aten::mul,1688
autograd::engine::evaluate_function: TBackward0,3
TBackward0,3
c10d::allreduce_,15
autograd::engine::evaluate_function: ViewBackward0,3
ViewBackward0,3
aten::reshape,3
autograd::engine::evaluate_function: MeanBackward1,34
MeanBackward1,7
aten::expand,3
aten::div,71
autograd::engine::evaluate_function: ReluBackward0,532
ReluBackward0,467
aten::threshold_backward,17744
autograd::engine::evaluate_function: AddBackward0,217
AddBackward0,98
autograd::engine::evaluate_function: CudnnBatchNormBackward0,514
CudnnBatchNormBackward0,640
aten::cudnn_batch_norm_backward,39994
autograd::engine::evaluate_function: ConvolutionBackward0,617
ConvolutionBackward0,576
aten::convolution_backward,97230
aten::to,182
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,3
MaxPool2DWithIndicesBackward0,3
aten::max_pool2d_with_indices_backward,2236
aten::zero_,3
aten::fill_,476
torch.distributed.ddp.reducer::copy_bucket_to_grad,1176
whole_step_time,280.046 ms
